city_from,city_to,transitmode,persona,total distance,total time,total Cost,start time,transfertime,eagres time,stop 1 lat,stop 1 long,stop 2 lat,stop 2 long,stop 3 lat,stop 3 long,stop 4 lat,stop 4 long
London,Kitchener ,3,2,110km,1h35min,$12.21,6:15 AM,,7:50 AM,42.980546,-81.250705,43.449564,-80.492256,,,,
London,Barrie,3,2,255km,5h19min,$59,12:01 PM,2:20PM-3:15PM,5:20 PM,42.980546,-81.250705,43.646652,-79.384396,44.387776,-79.690978,,
London,Ottawa,3,2,628km,9h50min,$75,4:00 AM,6:35AM-8:30AM,1:50 PM,42.980546,-81.250705,43.646652,-79.384396,45.408603,-75.695007,,
London,North Bay ,3,2,496km,19h45min,$90.40,2:30 PM,4:30PM-5PM-9:30PM-8:30AM,10:15 AM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546
London,Hastings Highlands,3,2,436km,39h45min,$96.30,8:30 PM,11:45PM-2:30PM-4:45PM-10:15AM,12:15 PM,42.980546,-81.250705,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785
London,Hamilton,3,3,138km,2h50min,$42.60,8:00 AM,,10:50 AM,42.980546,-81.250705,43.253217,-79.869159,,,,
London,Toronto,3,3,195km,2h45min,$33.00,10:45 AM,,1:30 PM,42.980546,-81.250705,43.646652,-79.384396,,,,
London,Greater Sudbury,3,3,545km,7h,$98,2:30 PM,4:30:00 PM-5PM,9:30 PM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,,
London,Kitchener ,3,3,110km,1h35min,$21.70,10:45 AM,,12:20 PM,42.980546,-81.250705,43.449564,-80.492256,,,,
London,Barrie,3,3,255km,5h19min,$53,12:01 PM,2:20PM-3:15PM,5:20 PM,42.980546,-81.250705,43.646652,-79.384396,44.387776,-79.690978,,
London,Ottawa,3,3,628km,9h50min,$107,4:00 AM,6:35AM-8:30AM,1:50 PM,42.980546,-81.250705,43.646652,-79.384396,45.408603,-75.695007,,
London,North Bay ,3,3,496km,19h45min,$88.40,2:30 PM,4:30PM-5PM-9:30PM-8:30AM,10:15 AM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546
London,Hastings Highlands,3,3,436km,15h45min,$77.50,8:30 PM,11:45PM-7:30AM-9:45AM-10:15AM,12:15 PM,42.980546,-81.250705,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785
London,Hamilton,3,4,138km,2h50min,$28.10,8:00 AM,,10:50 AM,42.980546,-81.250705,43.253217,-79.869159,,,,
London,Toronto,3,4,195km,2h45min,$31.00,10:45 AM,,1:30 PM,42.980546,-81.250705,43.646652,-79.384396,,,,
London,Greater Sudbury,3,4,545km,7h,$71.70,2:30 PM,4:30:00 PM-5PM,9:30 PM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,,
London,Kitchener ,3,4,110km,1h35min,$12.21,6:15 AM,,7:50 AM,42.980546,-81.250705,43.449564,-80.492256,,,,
London,Barrie,3,4,255km,5h19min,$59,12:01 PM,2:20PM-3:15PM,5:20 PM,42.980546,-81.250705,43.646652,-79.384396,44.387776,-79.690978,,
London,Ottawa,3,4,628km,9h50min,$75,4:00 AM,6:35AM-8:30AM,1:50 PM,42.980546,-81.250705,43.646652,-79.384396,45.408603,-75.695007,,
London,North Bay ,3,4,496km,19h45min,$90.40,2:30 PM,4:30PM-5PM-9:30PM-8:30AM,10:15 AM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546
London,Hastings Highlands,3,4,436km,39h45min,$96.30,8:30 PM,11:45PM-2:30PM-4:45PM-10:15AM,12:15 PM,42.980546,-81.250705,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785
London,Hamilton,3,5,138km,2h50min,$42.60,8:00 AM,,10:50 AM,42.980546,-81.250705,43.253217,-79.869159,,,,
London,Toronto,3,5,195km,2h45min,$33.00,10:45 AM,,1:30 PM,42.980546,-81.250705,43.646652,-79.384396,,,,
London,Greater Sudbury,3,5,545km,7h,$98,2:30 PM,4:30:00 PM-5PM,9:30 PM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,,
London,Kitchener ,3,5,110km,1h35min,$21.70,10:45 AM,,12:20 PM,42.980546,-81.250705,43.449564,-80.492256,,,,
London,Barrie,3,5,255km,5h19min,$53,12:01 PM,2:20PM-3:15PM,5:20 PM,42.980546,-81.250705,43.646652,-79.384396,44.387776,-79.690978,,
London,Ottawa,3,5,628km,9h50min,$107,4:00 AM,6:35AM-8:30AM,1:50 PM,42.980546,-81.250705,43.646652,-79.384396,45.408603,-75.695007,,
London,North Bay ,3,5,496km,19h45min,$88.40,2:30 PM,4:30PM-5PM-9:30PM-8:30AM,10:15 AM,42.980546,-81.250705,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546
London,Hastings Highlands,3,5,436km,15h45min,$77.50,8:30 PM,11:45PM-7:30AM-9:45AM-10:15AM,12:15 PM,42.980546,-81.250705,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785
Hamilton,London,3,1,138km,2h45min,$30.10,11:40 AM,,2:25 PM,43.253217,-79.869159,42.980546,-81.250705,,,,
Hamilton,Toronto,3,1,69km,1h15min,$11.20,11:00 AM,,12:15 PM,43.253217,-79.869159,43.646652,-79.384396,,,,
Hamilton,Greater Sudbury,3,1,436km,10h30min,$77.80,11:00 AM,12:15PM-4PM,9:30 PM,43.253217,-79.869159,43.646652,-79.384396,46.504838,-80.938205,,
Hamilton,Kitchener ,3,1,66km,1h35min,$10,7:30 AM,,9:05 AM,43.253217,-79.869159,43.449564,-80.492256,,,,
Hamilton,Barrie,3,1,146km,6h20min,$33.70,11:00 AM,12:15PM-3:15PM,5:20 PM,43.253217,-79.869159,43.646652,-79.384396,44.387776,-79.690978,,
Hamilton,Ottawa,3,1,516km,9h,$65,11:00 AM,12:15PM-2:30PM,8:00 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,,
Hamilton,North Bay ,3,1,393km,17h10min,$89.70,10:10 PM,11:45PM-12:30AM-6:20AM-10AM,3:20 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,46.313901,-79.438546
Hamilton,Hastings Highlands,3,1,331km,43h15min,$77.50,5:00 PM,6:50PM-3:10PM-4:45PM-10:10AM,12:15 PM,43.253217,-79.869159,43.775108,-79.254744,44.304691,-78.323045,45.231021,-77.937785
Hamilton,London,3,2,138km,2h45min,$30.10,11:40 AM,,2:25 PM,43.253217,-79.869159,42.980546,-81.250705,,,,
Hamilton,Toronto,3,2,69km,1h15min,$11.20,11:00 AM,,12:15 PM,43.253217,-79.869159,43.646652,-79.384396,,,,
Hamilton,Greater Sudbury,3,2,436km,10h30min,$77.80,11:00 AM,12:15PM-4PM,9:30 PM,43.253217,-79.869159,43.646652,-79.384396,46.504838,-80.938205,,
Hamilton,Kitchener ,3,2,66km,1h35min,$10,9:30 AM,,11:05 AM,43.253217,-79.869159,43.449564,-80.492256,,,,
Hamilton,Barrie,3,2,146km,6h20min,$33.70,11:00 AM,12:15PM-3:15PM,5:20 PM,43.253217,-79.869159,43.646652,-79.384396,44.387776,-79.690978,,
Hamilton,Ottawa,3,2,516km,9h,$65,11:00 AM,12:15PM-2:30PM,8:00 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,,
Hamilton,North Bay ,3,2,393km,17h10min,$89.70,10:10 PM,11:45PM-12:30AM-6:20AM-10AM,3:20 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,46.313901,-79.438546
Hamilton,Hastings Highlands,3,2,331km,43h15min,$77.50,5:00 PM,6:50PM-3:10PM-4:45PM-10:10AM,12:15 PM,43.253217,-79.869159,43.775108,-79.254744,44.304691,-78.323045,45.231021,-77.937785
Hamilton,London,3,3,138km,2h45min,$39.10,11:40 AM,,2:25 PM,43.253217,-79.869159,42.980546,-81.250705,,,,
Hamilton,Toronto,3,3,69km,1h15min,$12.70,11:00 AM,,12:15 PM,43.253217,-79.869159,43.646652,-79.384396,,,,
Hamilton,Greater Sudbury,3,3,436km,10h30min,$77.50,11:00 AM,12:15PM-4PM,9:30 PM,43.253217,-79.869159,43.646652,-79.384396,46.504838,-80.938205,,
Hamilton,Kitchener ,3,3,66km,1h35min,$10,9:30 AM,,11:05 AM,43.253217,-79.869159,43.449564,-80.492256,,,,
Hamilton,Barrie,3,3,146km,6h20min,$43.20,11:00 AM,12:15PM-3:15PM,5:20 PM,43.253217,-79.869159,43.646652,-79.384396,44.387776,-79.690978,,
Hamilton,Ottawa,3,3,516km,9h,$76,11:00 AM,12:15PM-2:30PM,8:00 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,,
Hamilton,North Bay ,3,3,393km,17h10min,$94.20,10:10 PM,11:45PM-12:30AM-6:20AM-10AM,3:20 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,46.313901,-79.438546
Hamilton,Hastings Highlands,3,3,331km,43h15min,$77.50,5:00 PM,6:50PM-3:10PM-4:45PM-10:10AM,12:15 PM,43.253217,-79.869159,43.775108,-79.254744,44.304691,-78.323045,45.231021,-77.937785
Hamilton,London,3,4,138km,2h45min,$30.10,11:40 AM,,2:25 PM,43.253217,-79.869159,42.980546,-81.250705,,,,
Hamilton,Toronto,3,4,69km,1h15min,$11.20,11:00 AM,,12:15 PM,43.253217,-79.869159,43.646652,-79.384396,,,,
Hamilton,Greater Sudbury,3,4,436km,10h30min,$77.80,11:00 AM,12:15PM-4PM,9:30 PM,43.253217,-79.869159,43.646652,-79.384396,46.504838,-80.938205,,
Hamilton,Kitchener ,3,4,66km,1h35min,$10,9:30 AM,,11:05 AM,43.253217,-79.869159,43.449564,-80.492256,,,,
Hamilton,Barrie,3,4,146km,6h20min,$33.70,11:00 AM,12:15PM-3:15PM,5:20 PM,43.253217,-79.869159,43.646652,-79.384396,44.387776,-79.690978,,
Hamilton,Ottawa,3,4,516km,9h,$65,11:00 AM,12:15PM-2:30PM,8:00 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,,
Hamilton,North Bay ,3,4,393km,17h10min,$89.70,10:10 PM,11:45PM-12:30AM-6:20AM-10AM,3:20 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,46.313901,-79.438546
Hamilton,Hastings Highlands,3,4,331km,43h15min,$77.50,5:00 PM,6:50PM-3:10PM-4:45PM-10:10AM,12:15 PM,43.253217,-79.869159,43.775108,-79.254744,44.304691,-78.323045,45.231021,-77.937785
Hamilton,London,3,5,138km,2h45min,$39.10,11:40 AM,,2:25 PM,43.253217,-79.869159,42.980546,-81.250705,,,,
Hamilton,Toronto,3,5,69km,1h15min,$12.70,11:00 AM,,12:15 PM,43.253217,-79.869159,43.646652,-79.384396,,,,
Hamilton,Greater Sudbury,3,5,436km,10h30min,$77.50,11:00 AM,12:15PM-4PM,9:30 PM,43.253217,-79.869159,43.646652,-79.384396,46.504838,-80.938205,,
Hamilton,Kitchener ,3,5,66km,1h35min,$10,9:30 AM,,11:05 AM,43.253217,-79.869159,43.449564,-80.492256,,,,
Hamilton,Barrie,3,5,146km,6h20min,$43.20,11:00 AM,12:15PM-3:15PM,5:20 PM,43.253217,-79.869159,43.646652,-79.384396,44.387776,-79.690978,,
Hamilton,Ottawa,3,5,516km,9h,$76,11:00 AM,12:15PM-2:30PM,8:00 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,,
Hamilton,North Bay ,3,5,393km,17h10min,$94.20,10:10 PM,11:45PM-12:30AM-6:20AM-10AM,3:20 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,46.313901,-79.438546
Hamilton,Hastings Highlands,3,5,331km,43h15min,$77.50,5:00 PM,6:50PM-3:10PM-4:45PM-10:10AM,12:15 PM,43.253217,-79.869159,43.775108,-79.254744,44.304691,-78.323045,45.231021,-77.937785
Toronto,London,3,1,194km,2h30min,$29.00,8:00 AM,,10:30 AM,43.646652,-79.384396,42.980546,-81.250705,,,,
Toronto,Hamilton,3,1,68km,1h30min,$10.20,10:00 AM,,11:30 AM,43.646652,-79.384396,43.253217,-79.869159,,,,
Toronto,Greater Sudbury,3,1,400km,5h30min,$53.10,4:00 PM,,9:30 PM,43.646652,-79.384396,46.504838,-80.938205,,,,
Toronto,Kitchener ,3,1,107km,2h15min,$11,6:45 AM,,9:00 AM,43.646652,-79.384396,43.449564,-80.492256,,,,
Toronto,Barrie,3,1,110km,2h5min,$13,3:15 PM,,5:20 PM,43.646652,-79.384396,44.387776,-79.690978,,,,
Toronto,Ottawa,3,1,449km,5h50min,$51.50,12:30 AM,,6:20 AM,43.646652,-79.384396,45.408603,-75.695007,,,,
Toronto,North Bay ,3,1,357km,18h15min,$90.40,4:00 PM,9:30PM-8:30AM,10:15 AM,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,,
Toronto,Hastings Highlands,3,1,264km,16h15min,$62,8:00 PM,9:55PM-10:15AM,12:15 PM,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,,
Toronto,London,3,2,194km,2h35min,$25.00,10:45 AM,,1:20 PM,43.646652,-79.384396,42.980546,-81.250705,,,,
Toronto,Hamilton,3,2,68km,1h30min,$10.20,10:00 AM,,11:30 AM,43.646652,-79.384396,43.253217,-79.869159,,,,
Toronto,Greater Sudbury,3,2,400km,5h30min,$53.10,4:00 PM,,9:30 PM,43.646652,-79.384396,46.504838,-80.938205,,,,
Toronto,Kitchener ,3,2,107km,2h25min,$12,10:30 AM,,12:55 PM,43.646652,-79.384396,43.449564,-80.492256,,,,
Toronto,Barrie,3,2,110km,2h5min,$13,3:15 PM,,5:20 PM,43.646652,-79.384396,44.387776,-79.690978,,,,
Toronto,Ottawa,3,2,449km,6h55min,$41,7:30 AM,,2:25 PM,43.646652,-79.384396,45.408603,-75.695007,,,,
Toronto,North Bay ,3,2,357km,18h15min,$90.40,4:00 PM,9:30PM-8:30AM,10:15 AM,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,,
Toronto,Hastings Highlands,3,2,264km,16h15min,$62,8:00 PM,9:55PM-10:15AM,12:15 PM,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,,
Toronto,London,3,3,194km,2h35min,$33.00,10:45 AM,,1:20 PM,43.646652,-79.384396,42.980546,-81.250705,,,,
Toronto,Hamilton,3,3,68km,1h30min,$13.70,10:00 AM,,11:30 AM,43.646652,-79.384396,43.253217,-79.869159,,,,
Toronto,Greater Sudbury,3,3,400km,5h30min,$57.10,4:00 PM,,9:30 PM,43.646652,-79.384396,46.504838,-80.938205,,,,
Toronto,Kitchener ,3,3,107km,2h25min,$18,10:30 AM,,12:55 PM,43.646652,-79.384396,43.449564,-80.492256,,,,
Toronto,Barrie,3,3,110km,2h5min,$18,3:15 PM,,5:20 PM,43.646652,-79.384396,44.387776,-79.690978,,,,
Toronto,Ottawa,3,3,449km,6h55min,$52,7:30 AM,,2:25 PM,43.646652,-79.384396,45.408603,-75.695007,,,,
Toronto,North Bay ,3,3,357km,18h15min,$105.90,4:00 PM,9:30PM-8:30AM,10:15 AM,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,,
Toronto,Hastings Highlands,3,3,264km,16h15min,$62,8:00 PM,9:55PM-10:15AM,12:15 PM,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,,
Toronto,London,3,4,194km,2h35min,$25.00,10:45 AM,,1:20 PM,43.646652,-79.384396,42.980546,-81.250705,,,,
Toronto,Hamilton,3,4,68km,1h30min,$10.20,10:00 AM,,11:30 AM,43.646652,-79.384396,43.253217,-79.869159,,,,
Toronto,Greater Sudbury,3,4,400km,5h30min,$53.10,4:00 PM,,9:30 PM,43.646652,-79.384396,46.504838,-80.938205,,,,
Toronto,Kitchener ,3,4,107km,2h25min,$12,10:30 AM,,12:55 PM,43.646652,-79.384396,43.449564,-80.492256,,,,
Toronto,Barrie,3,4,110km,2h5min,$13,3:15 PM,,5:20 PM,43.646652,-79.384396,44.387776,-79.690978,,,,
Toronto,Ottawa,3,4,449km,6h55min,$41,7:30 AM,,2:25 PM,43.646652,-79.384396,45.408603,-75.695007,,,,
Toronto,North Bay ,3,4,357km,18h15min,$90.40,4:00 PM,9:30PM-8:30AM,10:15 AM,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,,
Toronto,Hastings Highlands,3,4,264km,16h15min,$62,8:00 PM,9:55PM-10:15AM,12:15 PM,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785,,
Toronto,London,3,5,194km,2h35min,$33.00,10:45 AM,,1:20 PM,43.646652,-79.384396,42.980546,-81.250705,,,,
Toronto,Hamilton,3,5,68km,1h30min,$13.70,10:00 AM,,11:30 AM,43.646652,-79.384396,43.253217,-79.869159,,,,
Toronto,Greater Sudbury,3,5,400km,5h30min,$57.10,4:00 PM,,9:30 PM,43.646652,-79.384396,46.504838,-80.938205,,,,
Toronto,Kitchener ,3,5,107km,2h25min,$18,10:30 AM,,12:55 PM,43.646652,-79.384396,43.449564,-80.492256,,,,
Toronto,Barrie,3,5,110km,2h5min,$18,3:15 PM,,5:20 PM,43.646652,-79.384396,44.387776,-79.690978,,,,
Toronto,Ottawa,3,5,449km,6h55min,$52,7:30 AM,,2:25 PM,43.646652,-79.384396,45.408603,-75.695007,,,,
Toronto,North Bay ,3,5,357km,18h15min,$105.90,4:00 PM,9:30PM-8:30AM,10:15 AM,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546,,
Toronto,Hastings Highlands,3,5,264km,16h15min,$62,8:00 PM,9:55PM-10:15AM,12:15 PM,43.646652,-79.384396,44.304691,-78.323045,45.231021,,,
Greater Sudbury,London,3,1,531km,8h30min,$66.20,9:00 AM,1:35PM-3:15PM,5:30 PM,46.504838,-80.938205,43.646652,-79.384396,42.980546,-81.250705,,
Greater Sudbury,Hamilton,3,1,436km,11h50min,$73.30,9:00 AM,1:35PM-8:05PM,8:50 PM,46.504838,-80.938205,43.646652,-79.384396,43.253217,-79.869159,,
Greater Sudbury,Toronto,3,1,400km,5h30min,$53.10,9:00 AM,,2:30 PM,46.504838,-80.938205,43.646652,-79.384396,,,,
Greater Sudbury,Kitchener ,3,1,461km,8h55min,$80.10,9:00 AM,2:30PM-3:30PM,5:55 PM,46.504838,-80.938205,43.646652,-79.384396,43.449564,-80.492256,,
Greater Sudbury,Barrie,3,1,292km,8h20min,$52,9:00 AM,2:30PM-3:15PM,5:20 PM,46.504838,-80.938205,43.646652,-79.384396,44.387776,-79.690978,,
Greater Sudbury,Ottawa,3,1,484km,7h35min,$68,8:30 AM,,4:05 PM,46.504838,-80.938205,45.408603,-75.695007,,,,
Greater Sudbury,North Bay ,3,1,127km,1h45min,$24.10,8:30 AM,,10:15 AM,46.504838,-80.938205,46.313901,-79.438546,,,,
Greater Sudbury,Hastings Highlands,3,1,384km,27h15min,$132.90,9:00 AM,2:30PM-4PM-6:50PM-10:15AM,12:15 PM,46.504838,-80.938205,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785
Greater Sudbury,London,3,2,531km,8h30min,$66.20,9:00 AM,1:35PM-3:15PM,5:30 PM,46.504838,-80.938205,43.646652,-79.384396,42.980546,-81.250705,,
Greater Sudbury,Hamilton,3,2,436km,11h50min,$73.30,9:00 AM,1:35PM-8:05PM,8:50 PM,46.504838,-80.938205,43.646652,-79.384396,43.253217,-79.869159,,
Greater Sudbury,Toronto,3,2,400km,5h30min,$53.10,9:00 AM,,2:30 PM,46.504838,-80.938205,43.646652,-79.384396,,,,
Greater Sudbury,Kitchener ,3,2,461km,8h55min,$80.10,9:00 AM,2:30PM-3:30PM,5:55 PM,46.504838,-80.938205,43.646652,-79.384396,43.449564,-80.492256,,
Greater Sudbury,Barrie,3,2,292km,8h20min,$52,9:00 AM,2:30PM-3:15PM,5:20 PM,46.504838,-80.938205,43.646652,-79.384396,44.387776,-79.690978,,
Greater Sudbury,Ottawa,3,2,484km,7h35min,$68,8:30 AM,,4:05 PM,46.504838,-80.938205,45.408603,-75.695007,,,,
Greater Sudbury,North Bay ,3,2,127km,1h45min,$24.10,8:30 AM,,10:15 AM,46.504838,-80.938205,46.313901,-79.438546,,,,
Greater Sudbury,Hastings Highlands,3,2,384km,27h15min,$132.90,9:00 AM,2:30PM-4PM-6:50PM-10:15AM,12:15 PM,46.504838,-80.938205,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785
Greater Sudbury,London,3,3,531km,8h30min,$97.80,9:00 AM,1:35PM-3:15PM,5:30 PM,46.504838,-80.938205,43.646652,-79.384396,42.980546,-81.250705,,
Greater Sudbury,Hamilton,3,3,436km,11h50min,$77.50,9:00 AM,1:35PM-8:05PM,8:50 PM,46.504838,-80.938205,43.646652,-79.384396,43.253217,-79.869159,,
Greater Sudbury,Toronto,3,3,400km,5h30min,$65.10,9:00 AM,,2:30 PM,46.504838,-80.938205,43.646652,-79.384396,,,,
Greater Sudbury,Kitchener ,3,3,461km,8h55min,$114.60,9:00 AM,2:30PM-3:30PM,5:55 PM,46.504838,-80.938205,43.646652,-79.384396,43.449564,-80.492256,,
Greater Sudbury,Barrie,3,3,292km,8h20min,$75,9:00 AM,2:30PM-3:15PM,5:20 PM,46.504838,-80.938205,43.646652,-79.384396,44.387776,-79.690978,,
Greater Sudbury,Ottawa,3,3,484km,7h35min,$84,8:30 AM,,4:05 PM,46.504838,-80.938205,45.408603,-75.695007,,,,
Greater Sudbury,North Bay ,3,3,127km,1h45min,$35.10,8:30 AM,,10:15 AM,46.504838,-80.938205,46.313901,-79.438546,,,,
Greater Sudbury,Hastings Highlands,3,3,384km,27h15min,$152.90,9:00 AM,2:30PM-4PM-6:50PM-10:15AM,12:15 PM,46.504838,-80.938205,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785
Greater Sudbury,London,3,4,531km,8h30min,$66.20,9:00 AM,1:35PM-3:15PM,5:30 PM,46.504838,-80.938205,43.646652,-79.384396,42.980546,-81.250705,,
Greater Sudbury,Hamilton,3,4,436km,11h50min,$73.30,9:00 AM,1:35PM-8:05PM,8:50 PM,46.504838,-80.938205,43.646652,-79.384396,43.253217,-79.869159,,
Greater Sudbury,Toronto,3,4,400km,5h30min,$53.10,9:00 AM,,2:30 PM,46.504838,-80.938205,43.646652,-79.384396,,,,
Greater Sudbury,Kitchener ,3,4,461km,8h55min,$80.10,9:00 AM,2:30PM-3:30PM,5:55 PM,46.504838,-80.938205,43.646652,-79.384396,43.449564,-80.492256,,
Greater Sudbury,Barrie,3,4,292km,8h20min,$52,9:00 AM,2:30PM-3:15PM,5:20 PM,46.504838,-80.938205,43.646652,-79.384396,44.387776,-79.690978,,
Greater Sudbury,Ottawa,3,4,484km,7h35min,$68,8:30 AM,,4:05 PM,46.504838,-80.938205,45.408603,-75.695007,,,,
Greater Sudbury,North Bay ,3,4,127km,1h45min,$24.10,8:30 AM,,10:15 AM,46.504838,-80.938205,46.313901,-79.438546,,,,
Greater Sudbury,Hastings Highlands,3,4,384km,27h15min,$132.90,9:00 AM,2:30PM-4PM-6:50PM-10:15AM,12:15 PM,46.504838,-80.938205,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785
Greater Sudbury,London,3,5,531km,8h30min,$97.80,9:00 AM,1:35PM-3:15PM,5:30 PM,46.504838,-80.938205,43.646652,-79.384396,42.980546,-81.250705,,
Greater Sudbury,Hamilton,3,5,436km,11h50min,$77.50,9:00 AM,1:35PM-8:05PM,8:50 PM,46.504838,-80.938205,43.646652,-79.384396,43.253217,-79.869159,,
Greater Sudbury,Toronto,3,5,400km,5h30min,$65.10,9:00 AM,,2:30 PM,46.504838,-80.938205,43.646652,-79.384396,,,,
Greater Sudbury,Kitchener ,3,5,461km,8h55min,$114.60,9:00 AM,2:30PM-3:30PM,5:55 PM,46.504838,-80.938205,43.646652,-79.384396,43.449564,-80.492256,,
Greater Sudbury,Barrie,3,5,292km,8h20min,$75,9:00 AM,2:30PM-3:15PM,5:20 PM,46.504838,-80.938205,43.646652,-79.384396,44.387776,-79.690978,,
Greater Sudbury,Ottawa,3,5,484km,7h35min,$84,8:30 AM,,4:05 PM,46.504838,-80.938205,45.408603,-75.695007,,,,
Greater Sudbury,North Bay ,3,5,127km,1h45min,$35.10,8:30 AM,,10:15 AM,46.504838,-80.938205,46.313901,-79.438546,,,,
Greater Sudbury,Hastings Highlands,3,5,384km,27h15min,$152.90,9:00 AM,2:30PM-4PM-6:50PM-10:15AM,12:15 PM,46.504838,-80.938205,43.646652,-79.384396,44.304691,-78.323045,45.231021,-77.937785
Kitchener ,London,3,1,110km,1h35min,$12.21,9:00 AM,,10:35 AM,43.449564,-80.492256,42.980546,-81.250705,,,,
Kitchener ,Hamilton,3,1,66km,1h30min,$10,7:30 AM,,9:00 AM,43.449564,-80.492256,43.253217,-79.869159,,,,
Kitchener ,Toronto,3,1,109km,1h55min,$11,6:25 AM,,8:20 AM,43.449564,-80.492256,43.646652,-79.384396,,,,
Kitchener ,Greater Sudbury,3,1,463km,9h,$85.10,12:30 PM,2:30PM-4PM,9:30 PM,43.449564,-80.492256,43.646652,-79.384396,46.504838,-80.938205,,
Kitchener ,Barrie,3,1,155km,4h50min,$22.40,12:30 PM,2:30-3:15PM,5:20 PM,43.449564,-80.492256,43.646652,-79.384396,44.387776,-79.690978,,
Kitchener ,Ottawa,3,1,543km,8h20min,$100.90,5:30 AM,7:30AM-8:30AM,1:50 PM,43.449564,-80.492256,43.646652,-79.384396,45.408603,-75.695007,,
Kitchener ,North Bay ,3,1,420km,21h45min,$104.20,12:30 PM,2:30PM-4PM-9:30PM-8:30AM,10:15 AM,43.449564,-80.492256,43.646652,-79.384396,46.504838,-80.938205,46.313901,-79.438546
