city_from,city_to,transitmode,persona,total distance,total time,total Cost,start time,transfertime,eagres time,stop1 lat,stop 1 long,stop 2 lat,stop 2 long,stp3 lat,stop 3 lon,
73,64,3,4,128km,2h,$32.60,10:15 AM,,12:15 PM,PeterboroughGreyhoundStation,,MaynoothGreyhound ,,,,
73,75,3,5,338km,5h29min,$62.09,12:01 PM,1:45PM-2:30PM,5:30 PM,PeterboroughGreyhoundStation,,UnionStation,,LondonGreyhound,,
73,74,3,5,204km,4h20min,$53.40,4:30 PM,6:20PM-7:15PM,8:50 PM,PeterboroughGreyhoundStation,,ScarboroughTownCentreBusTerminal,,HamiltonGO,,
73,72,3,5,146km,1h50min,$17.90,11:15 AM,,1:05 PM,PeterboroughGreyhoundStation,\
\,UnionStation,,,,
73,71,3,5,398km,9h29min,$83.70,12:01 PM,1:45PM-4PM,9:30 PM,PeterboroughGreyhoundStation,,UnionStation,,OntarioNorthlandSudburyBusDepot,,
73,70,3,5,230km,5h45min,$29,11:15 AM,1:05PM-2PM,5:00 PM,PeterboroughGreyhoundStation,,UnionStation,,CharlesStreetTerminal,,
73,69,3,5,217km,5h19min,$46.30,12:01 PM,1:45PM-3:15PM,5:20 PM,PeterboroughGreyhoundStation,,UnionStation,,BarrieBusTerminal ,,
73,68,3,5,268km,4h35min,$53.20,9:50 AM,,2:25 PM,PeterboroughGreyhoundStation,,OttawaCentralStation,,,,
73,67,3,5,320km,29h5min,$109.60,10:15 AM,2:20PM-12:10PM,3:20 PM,PeterboroughGreyhoundStation,,Pembroke,,OntarioNorthlandNorthBayBusStation ,,
73,66,3,5,283km,8h20min,$34,11:15 AM,1:05PM-5:15PM,7:35 PM,PeterboroughGreyhoundStation,,UnionStation,,KingandClarenceMegabusStop,,
73,64,3,5,128km,2h,$32.60,10:15 AM,,12:15 PM,PeterboroughGreyhoundStation,,MaynoothGreyhound ,,,,
75,73,3,1,339km,5h45min,$55.10,4:00 AM,6:35AM-7:30AM,9:45 AM,LondonGreyhound,,UnionStation,,PeterboroughGreyhoundStation,,
74,73,3,1,205km,5h45min,$40.30,11:00 AM,12:15PM-2:30PM,4:45 PM,HamiltonGO,,UnionStation,,PeterboroughGreyhoundStation,,
72,73,3,1,145km,2h15min,$13.90,7:30 AM,,9:45 AM,Union Station,,PeterboroughGreyhoundStation,,,,
71,73,3,1,398km,9h50min,$74.70,9:00 AM,2:30PM-4PM,6:50 PM,OntarioNorthlandSudburyBusDepot,,UnionStation,,PeterboroughGreyhoundStation,,
70,73,3,1,232km,4h45min,$22.50,5:00 AM,7AM-7:30AM ,9:45 AM,CharlesStreetTerminal ,,UnionStation,,PeterboroughGreyhoundStation,,
69,73,3,1,217km,6h,$40.30,5:30 AM,7:05AM-9:30AM,11:30 AM,BarrieBusTerminal ,,UnionStation,,PeterboroughGreyhoundStation,,
68,73,3,1,268km,4h5min,$47.20,7:00 AM,,11:05 AM,OttawaCentralStation,,PeterboroughGreyhoundStation,,,,
67,73,3,1,321km,7h55min,$83.70,10:45 AM,1:40PM-2:30PM,6:40 PM,OntarioNorthlandNorthBayBusStation,,Pembroke,,PeterboroughGreyhoundStation ,,
66,73,3,1,283km,6h5min,$28,5:25 AM,8:05AM-9:30AM,11:30 AM,KingandClarenceMegabusStop,,UnionStation,,PeterboroughGreyhoundStation ,,
64,73,3,1,N/A,,,,,,,,,,,,
75,73,3,2,339km,6h,$55.10,10:45 AM,1:30PM-2:30PM,4:45 PM,LondonGreyhound,,UnionStation,,PeterboroughGreyhoundStation,,
74,73,3,2,205km,5h45min,$40.30,11:00 AM,12:15PM-2:30PM,4:45 PM,HamiltonGO,,UnionStation,,PeterboroughGreyhoundStation,,
72,73,3,2,145km ,2h,$13.90,9:30 AM,,11:30 AM,UnionStation,,PeterboroughGreyhoundStation,,,,
71,73,3,2,398km,9h50min,$74.70,9:00 AM,2:30PM-4PM,6:50 PM,OntarioNorthlandSudburyBusDepot,,UnionStation,,PeterboroughGreyhoundStation,,
70,73,3,2,232km,7h15min,$25,9:30 AM,11:35AM-2:30PM,4:45 PM,CharlesStreetTerminal,,UnionStation,,PeterboroughGreyhoundStation,,
69,73,3,2,217km,4h55min,$40.30,11:50 AM,1:30PM-2:30PM,4:45 PM,BarrieBusTerminal ,,UnionStation,,PeterboroughGreyhoundStation,,
68,73,3,2,268km,4h5min,$47.20,7:00 AM,,11:05 AM,OttawaCentralStation,,PeterboroughGreyhoundStation,,,,
67,73,3,2,321km,7h55min,$83.70,10:45 AM,1:40PM-2:30PM,6:40 PM,OntarioNorthlandNorthBayBusStation,,Pembroke,,PeterboroughGreyhoundStation ,,
66,73,3,2,283km,6h5min,$28,5:25 AM,8:05AM-9:30AM,11:30 AM,KingandClarenceMegabusStop,,UnionStation,,PeterboroughGreyhoundStation ,,
64,73,3,2,N/A,,,,,,,,,,,,
75,73,3,3,339km,6h,$62.10,10:45 AM,1:30PM-2:30PM,4:45 PM,LondonGreyhound,,UnionStation,,PeterboroughGreyhoundStation,,
74,73,3,3,205km,5h45min,$46.30,11:00 AM,12:15PM-2:30PM,4:45 PM,HamiltonGO,,UnionStation,,PeterboroughGreyhoundStation,,
72,73,3,3,145km,2h15min,$20.40,7:30 AM,,9:45 AM,UnionStation ,,PeterboroughGreyhoundStation,,,,
71,73,3,3,398km,9h50min,$83.70,9:00 AM,2:30PM-4PM,6:50 PM,OntarioNorthlandSudburyBusDepot,,UnionStation,,PeterboroughGreyhoundStation,,
70,73,3,3,232km,7h15min,$25,9:30 AM,11:35AM-2:30PM,4:45 PM,CharlesStreetTerminal,,UnionStation,,PeterboroughGreyhoundStation,,
69,73,3,3,217km,4h55min,$46.30,11:50 AM,1:30PM-2:30PM,4:45 PM,BarrieBusTerminal ,,UnionStation,,PeterboroughGreyhoundStation,,
68,73,3,3,268km,4h5min,$53.20,7:00 AM,,11:05 AM,OttawaCentralStation,,PeterboroughGreyhoundStation,,,,
67,73,3,3,321km,7h55min,$83.70,10:45 AM,1:40PM-2:30PM,6:40 PM,OntarioNorthlandNorthBayBusStation,,Pembroke,,PeterboroughGreyhoundStation ,,
66,73,3,3,283km,11h20min,$29,5:25 AM,8:05AM-2:30PM,4:45 PM,KingandClarenceMegabusStop,,UnionStation,,PeterboroughGreyhoundStation ,,
64,73,3,3,N/A,,,,,,,,,,,,
75,73,3,4,339km,5h45min,$55.10,4:00 AM,6:35AM-7:30AM,9:45 AM,LondonGreyhound,,UnionStation,,PeterboroughGreyhoundStation,,
74,73,3,4,205km,5h45min,$40.30,11:00 AM,12:15PM-2:30PM,4:45 PM,HamiltonGO,,UnionStation,,PeterboroughGreyhoundStation,,
72,73,3,4,145km ,2h,$13.90,9:30 AM,,11:30 AM,UnionStation,,PeterboroughGreyhoundStation,,,,
71,73,3,4,398km,9h50min,$74.70,9:00 AM,2:30PM-4PM,6:50 PM,OntarioNorthlandSudburyBusDepot,,UnionStation,,PeterboroughGreyhoundStation,,
70,73,3,4,232km,5h5min,$22.50,6:25 AM,8:20AM-9:30AM,11:30 AM,CharlesStreetTerminal,,UnionStation,,PeterboroughGreyhoundStation,,
69,73,3,4,217km,6h,$40.30,5:30 AM,7:05AM-9:30AM,11:30 AM,BarrieBusTerminal ,,UnionStation,,PeterboroughGreyhoundStation,,
68,73,3,4,268km,4h5min,$47.20,7:00 AM,,11:05 AM,OttawaCentralStation,,PeterboroughGreyhoundStation,,,,
