city_from,city_to,transitmode,persona,total distance,time,total Cost,start time,transfertime,eagres time,stop 1 lat,stop 1 long,stop 2 lat,stop 2 long,stop 3 lat,stop 3 long,stop 4 lat,stop 4 long,rowiid
Hamilton,Greater Sudbury,3,2,436km,630,$77.80,11:00 AM,12:15PM-4PM,9:30 PM,43.253217,-79.869159,43.646652,-79.384396,46.504838,-80.938205,,,51
Hamilton,Kitchener ,3,2,66km,95,$10,9:30 AM,,11:05 AM,43.253217,-79.869159,43.449564,-80.492256,,,,,52
Hamilton,Barrie,3,2,146km,380,$33.70,11:00 AM,12:15PM-3:15PM,5:20 PM,43.253217,-79.869159,43.646652,-79.384396,44.387776,-79.690978,,,53
Hamilton,Ottawa,3,2,516km,540,$65,11:00 AM,12:15PM-2:30PM,8:00 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,,,54
Hamilton,North Bay ,3,2,393km,1030,$89.70,10:10 PM,11:45PM-12:30AM-6:20AM-10AM,3:20 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,46.313901,-79.438546,55
Hamilton,Hastings Highlands,3,2,331km,2595,$77.50,5:00 PM,6:50PM-3:10PM-4:45PM-10:10AM,12:15 PM,43.253217,-79.869159,43.775108,-79.254744,44.304691,-78.323045,45.231021,-77.937785,56
Hamilton,London,3,3,138km,165,$39.10,11:40 AM,,2:25 PM,43.253217,-79.869159,42.980546,-81.250705,,,,,57
Hamilton,Toronto,3,3,69km,75,$12.70,11:00 AM,,12:15 PM,43.253217,-79.869159,43.646652,-79.384396,,,,,58
Hamilton,Greater Sudbury,3,3,436km,630,$77.50,11:00 AM,12:15PM-4PM,9:30 PM,43.253217,-79.869159,43.646652,-79.384396,46.504838,-80.938205,,,59
Hamilton,Kitchener ,3,3,66km,95,$10,9:30 AM,,11:05 AM,43.253217,-79.869159,43.449564,-80.492256,,,,,60
Hamilton,Barrie,3,3,146km,380,$43.20,11:00 AM,12:15PM-3:15PM,5:20 PM,43.253217,-79.869159,43.646652,-79.384396,44.387776,-79.690978,,,61
Hamilton,Ottawa,3,3,516km,540,$76,11:00 AM,12:15PM-2:30PM,8:00 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,,,62
Hamilton,North Bay ,3,3,393km,1030,$94.20,10:10 PM,11:45PM-12:30AM-6:20AM-10AM,3:20 PM,43.253217,-79.869159,43.646652,-79.384396,45.408603,-75.695007,46.313901,-79.438546,63
Hamilton,Hastings Highlands,3,3,331km,2595,$77.50,5:00 PM,6:50PM-3:10PM-4:45PM-10:10AM,12:15 PM,43.253217,-79.869159,43.775108,-79.254744,44.304691,-78.323045,45.231021,-77.937785,64
Hamilton,London,3,4,138km,165,$30.10,11:40 AM,,2:25 PM,43.253217,-79.869159,42.980546,-81.250705,,,,,65
Hamilton,Toronto,3,4,69km,75,$11.20,11:00 AM,,12:15 PM,43.253217,-79.869159,43.646652,-79.384396,,,,,66
